1059209636	20210818	202108	2021	2021.6247											USA	UNITED STATES	USA								1	0311	031	03	1	5.2	8	1	8	-0.34364261168385	0								2	Illinois, United States	US	USIL		40.3363	-89.0022	IL	2	Illinois, United States	US	USIL		40.3363	-89.0022	IL	20220818201500	https://herald-review.com/news/local/govt-and-politics/watch-now-pritzker-touts-energy-agenda-at-new-logan-county-solar-farm/article_7fcc701c-1f28-11ed-9d53-0f627df726e3.html
1059209637	20210818	202108	2021	2021.6247											USA	UNITED STATES	USA								0	043	043	04	1	2.8	4	1	4	3.04017372421281	0								3	Fayette County, Pennsylvania, United States	US	USPA		40.1254	-79.75	1209179	3	Fayette County, Pennsylvania, United States	US	USPA		40.1254	-79.75	1209179	20220818201500	https://www.dailycourier.com/news/fayette-county-solicitor-recognized/article_56cf5568-1f2c-11ed-b5df-fba52aafa593.html
1059209638	20210818	202108	2021	2021.6247	GOV	GOVERNMENT						GOV			USA	VIRGINIA	USA								1	043	043	04	1	2.8	10	1	10	-0.60240963855421	2	Virginia, United States	US	USVA		37.768	-78.2057	VA	2	Virginia, United States	US	USVA		37.768	-78.2057	VA	2	Virginia, United States	US	USVA		37.768	-78.2057	VA	20220818201500	https://www.potomaclocal.com/2022/08/18/student-sol-scores-improve-but-will-take-years-to-return-to-2019-levels/
1059209639	20210818	202108	2021	2021.6247	QAT	QATAR	QAT																		1	160	160	16	4	-4.0	3	1	3	-2.65486725663717	4	Doha, Ad Daw?ah, Qatar	QA	QA01	25307	25.2867	51.5333	-785169	0								4	Doha, Ad Daw?ah, Qatar	QA	QA01	25307	25.2867	51.5333	-785169	20220818201500	https://www.bnnbloomberg.ca/geneva-auto-show-trades-snow-for-sand-as-qatar-to-host-2023-event-1.1807523
1059209640	20210818	202108	2021	2021.6247	QAT	DOHA	QAT								EUR	EUROPE	EUR								1	173	173	17	4	-5.0	10	1	10	-3.75	4	Doha, Ad Daw?ah, Qatar	QA	QA01	25307	25.2867	51.5333	-785169	4	Doha, Ad Daw?ah, Qatar	QA	QA01	25307	25.2867	51.5333	-785169	4	Doha, Ad Daw?ah, Qatar	QA	QA01	25307	25.2867	51.5333	-785169	20220818201500	https://www.bloomberg.com/news/articles/2022-08-18/geneva-auto-show-trades-snow-for-sand-as-qatar-hosts-2023-event
1059209641	20210818	202108	2021	2021.6247	QAT	DOHA	QAT								EUR	EUROPE	EUR								1	173	173	17	4	-5.0	2	1	2	-2.65486725663717	4	Doha, Ad Daw?ah, Qatar	QA	QA01	25307	25.2867	51.5333	-785169	1	United States	US	US		39.828175	-98.5795	US	4	Doha, Ad Daw?ah, Qatar	QA	QA01	25307	25.2867	51.5333	-785169	20220818201500	https://www.bnnbloomberg.ca/geneva-auto-show-trades-snow-for-sand-as-qatar-to-host-2023-event-1.1807523
1059209642	20210818	202108	2021	2021.6247	QAT	DOHA	QAT								EUR	EUROPE	EUR								1	173	173	17	4	-5.0	8	1	8	-2.65486725663717	1	United States	US	US		39.828175	-98.5795	US	4	Doha, Ad Daw?ah, Qatar	QA	QA01	25307	25.2867	51.5333	-785169	1	United States	US	US		39.828175	-98.5795	US	20220818201500	https://www.bnnbloomberg.ca/geneva-auto-show-trades-snow-for-sand-as-qatar-to-host-2023-event-1.1807523
1059209643	20210818	202108	2021	2021.6247	USA	UNITED STATES	USA																		0	026	026	02	1	4.0	4	1	4	3.04017372421281	3	Fayette County, Pennsylvania, United States	US	USPA	PA051	40.1254	-79.75	1209179	0								3	Fayette County, Pennsylvania, United States	US	USPA		40.1254	-79.75	1209179	20220818201500	https://www.dailycourier.com/news/fayette-county-solicitor-recognized/article_56cf5568-1f2c-11ed-b5df-fba52aafa593.html
1059209644	20210818	202108	2021	2021.6247	USA	UNITED STATES	USA																		0	042	042	04	1	1.9	4	1	4	3.04017372421281	3	Fayette County, Pennsylvania, United States	US	USPA	PA051	40.1254	-79.75	1209179	0								3	Fayette County, Pennsylvania, United States	US	USPA		40.1254	-79.75	1209179	20220818201500	https://www.dailycourier.com/news/fayette-county-solicitor-recognized/article_56cf5568-1f2c-11ed-b5df-fba52aafa593.html
1059209645	20210818	202108	2021	2021.6247	USA	VIRGINIA	USA								GOV	GOVERNMENT						GOV			1	042	042	04	1	1.9	10	1	10	-0.60240963855421	2	Virginia, United States	US	USVA		37.768	-78.2057	VA	2	Virginia, United States	US	USVA		37.768	-78.2057	VA	2	Virginia, United States	US	USVA		37.768	-78.2057	VA	20220818201500	https://www.potomaclocal.com/2022/08/18/student-sol-scores-improve-but-will-take-years-to-return-to-2019-levels/
