1059214959	20210818	202108	2021	2021.6247											DZA	ALGERIA	DZA								1	190	190	19	4	-10.0	1	1	1	-4.56431535269709	0								4	El Tarf, El Tarf, Algeria	AG	AG44	38246	36.7672	8.31377	-468561	4	El Tarf, El Tarf, Algeria	AG	AG44	38246	36.7672	8.31377	-468561	20220818210000	https://africatimes.com/2022/08/18/algeria-mourns-dozens-lost-to-fast-moving-wildfires/
1059214960	20210818	202108	2021	2021.6247											DZA	ALGERIA	DZA								1	190	190	19	4	-10.0	3	1	3	-4.56431535269709	0								4	El Tarf, El Tarf, Algeria	AG	AG44	38246	36.7672	8.31377	-468561	4	Tizi Ouzou, Tizi Ouzou, Algeria	AG	AG14	39114	36.7118	4.04591	-490233	20220818210000	https://africatimes.com/2022/08/18/algeria-mourns-dozens-lost-to-fast-moving-wildfires/
1059214961	20210818	202108	2021	2021.6247											DZA	ALGERIA	DZA								1	190	190	19	4	-10.0	1	1	1	-4.56431535269709	0								4	Tizi Ouzou, Tizi Ouzou, Algeria	AG	AG14	39114	36.7118	4.04591	-490233	4	El Tarf, El Tarf, Algeria	AG	AG44	38246	36.7672	8.31377	-468561	20220818210000	https://africatimes.com/2022/08/18/algeria-mourns-dozens-lost-to-fast-moving-wildfires/
1059214962	20210818	202108	2021	2021.6247											DZA	ALGERIA	DZA								1	190	190	19	4	-10.0	5	1	5	-4.56431535269709	0								4	Tizi Ouzou, Tizi Ouzou, Algeria	AG	AG14	39114	36.7118	4.04591	-490233	4	Tizi Ouzou, Tizi Ouzou, Algeria	AG	AG14	39114	36.7118	4.04591	-490233	20220818210000	https://africatimes.com/2022/08/18/algeria-mourns-dozens-lost-to-fast-moving-wildfires/
1059214963	20210818	202108	2021	2021.6247	COP	POLICE						COP													0	070	070	07	2	7.0	5	1	5	2.24215246636771	3	Washington, District of Columbia, United States	US	USDC	DC001	38.8951	-77.0364	531871	0								3	Washington, District of Columbia, United States	US	USDC	DC001	38.8951	-77.0364	531871	20220818210000	https://wtop.com/dc/2022/08/help-decide-who-wins-dcs-battle-of-the-badges-by-donating-blood/
1059214964	20210818	202108	2021	2021.6247	CVL	VOTER						CVL													1	020	020	02	1	3.0	5	1	5	-1.87637969094922	3	Dallas, Texas, United States	US	USTX	TX113	32.7831	-96.8067	1380944	0								3	Dallas, Texas, United States	US	USTX	TX113	32.7831	-96.8067	1380944	20220818210000	https://www.governing.com/finance/dallas-council-considers-1b-bond-package-for-2024-vote
1059214965	20210818	202108	2021	2021.6247	CVL	VOTER						CVL													1	110	110	11	3	-2.0	5	1	5	-1.87637969094922	3	Dallas, Texas, United States	US	USTX	TX113	32.7831	-96.8067	1380944	0								3	Dallas, Texas, United States	US	USTX	TX113	32.7831	-96.8067	1380944	20220818210000	https://www.governing.com/finance/dallas-council-considers-1b-bond-package-for-2024-vote
1059214966	20210818	202108	2021	2021.6247	CVL	MIGRANT						CVL			AUS	AUSTRALIA	AUS								1	036	036	03	1	4.0	10	1	10	-0.11876484560571	1	Australia	AS	AS		-25	135	AS	1	Australia	AS	AS		-25	135	AS	1	Australia	AS	AS		-25	135	AS	20220818210000	https://www.amren.com/news/2022/08/labor-to-bring-in-tens-of-thousands-more-migrants-as-it-eyes-bargain-with-union-movement/
1059214967	20210818	202108	2021	2021.6247	DZA	ALGERIA	DZA																		1	190	190	19	4	-10.0	1	1	1	-4.56431535269709	4	El Tarf, El Tarf, Algeria	AG	AG44	38246	36.7672	8.31377	-468561	0								4	El Tarf, El Tarf, Algeria	AG	AG44	38246	36.7672	8.31377	-468561	20220818210000	https://africatimes.com/2022/08/18/algeria-mourns-dozens-lost-to-fast-moving-wildfires/
1059214968	20210818	202108	2021	2021.6247	DZA	ALGERIA	DZA																		1	190	190	19	4	-10.0	3	1	3	-4.56431535269709	4	El Tarf, El Tarf, Algeria	AG	AG44	38246	36.7672	8.31377	-468561	0								4	Tizi Ouzou, Tizi Ouzou, Algeria	AG	AG14	39114	36.7118	4.04591	-490233	20220818210000	https://africatimes.com/2022/08/18/algeria-mourns-dozens-lost-to-fast-moving-wildfires/
