1060155278	20210825	202108	2021	2021.6438											GBR	UNITED KINGDOM	GBR								0	040	040	04	1	1.0	4	1	4	-2.56012412723041	0								5	Hampshire, Hampshire, United Kingdom	UK	UKF2	40112	51.0833	-1.16667	-2598067	5	Hampshire, Hampshire, United Kingdom	UK	UKF2	40112	51.0833	-1.16667	-2598067	20220825144500	https://www.walesonline.co.uk/news/real-life/tragic-teen-let-down-under-24853569
1060155279	20210825	202108	2021	2021.6438											GOV	GOVERNOR						GOV			0	040	040	04	1	1.0	3	1	3	-2.15827338129496	0								4	Rio Grande Do Sul, Rio Grande do Sul, Brazil	BR	BR23	22379	-32.0333	-52.0833	-666679	1	United States	US	US		39.828175	-98.5795	US	20220825144500	https://www.economist.com/the-americas/2022/08/25/brazils-governors-have-been-emboldened-under-jair-bolsonaro
1060155280	20210825	202108	2021	2021.6438											GOV	GOVERNOR						GOV			0	046	046	04	1	7.0	3	1	3	-2.15827338129496	0								4	Rio Grande Do Sul, Rio Grande do Sul, Brazil	BR	BR23	22379	-32.0333	-52.0833	-666679	1	United States	US	US		39.828175	-98.5795	US	20220825144500	https://www.economist.com/the-americas/2022/08/25/brazils-governors-have-been-emboldened-under-jair-bolsonaro
1060155281	20210825	202108	2021	2021.6438											REL	ABBOT									1	111	111	11	3	-2.0	6	1	6	-0.34364261168385	0								2	Texas, United States	US	USTX		31.106	-97.6475	TX	2	Texas, United States	US	USTX		31.106	-97.6475	TX	20220825144500	https://www.nbcnews.com/meet-the-press/meetthepressblog/orourke-launches-texas-ad-campaign-gov-abbott-spends-millions-rcna44779
1060155282	20210825	202108	2021	2021.6438	CVL	SETTLEMENT						CVL			USA	MISSOURI	USA								1	042	042	04	1	1.9	8	1	8	-9.30232558139535	2	Missouri, United States	US	USMO		38.4623	-92.302	MO	2	Missouri, United States	US	USMO		38.4623	-92.302	MO	2	Missouri, United States	US	USMO		38.4623	-92.302	MO	20220825144500	https://minnlawyer.com/2022/08/25/pending-t-mobile-settlement-is-2nd-largest-for-data-breach/
1060155283	20210825	202108	2021	2021.6438	CVL	SETTLEMENT						CVL			USA	MISSOURI	USA								1	128	128	12	3	-5.0	8	1	8	-9.30232558139535	2	Missouri, United States	US	USMO		38.4623	-92.302	MO	2	Missouri, United States	US	USMO		38.4623	-92.302	MO	2	Missouri, United States	US	USMO		38.4623	-92.302	MO	20220825144500	https://minnlawyer.com/2022/08/25/pending-t-mobile-settlement-is-2nd-largest-for-data-breach/
1060155284	20210825	202108	2021	2021.6438	GBR	UNITED KINGDOM	GBR																		0	040	040	04	1	1.0	4	1	4	-2.56012412723041	5	Hampshire, Hampshire, United Kingdom	UK	UKF2	40112	51.0833	-1.16667	-2598067	0								5	Hampshire, Hampshire, United Kingdom	UK	UKF2	40112	51.0833	-1.16667	-2598067	20220825144500	https://www.walesonline.co.uk/news/real-life/tragic-teen-let-down-under-24853569
1060155285	20210825	202108	2021	2021.6438	GOV	GOVERNOR						GOV													0	040	040	04	1	1.0	3	1	3	-2.15827338129496	4	Rio Grande Do Sul, Rio Grande do Sul, Brazil	BR	BR23	22379	-32.0333	-52.0833	-666679	0								1	United States	US	US		39.828175	-98.5795	US	20220825144500	https://www.economist.com/the-americas/2022/08/25/brazils-governors-have-been-emboldened-under-jair-bolsonaro
1060155286	20210825	202108	2021	2021.6438	GOV	GOVERNOR						GOV													0	046	046	04	1	7.0	3	1	3	-2.15827338129496	4	Rio Grande Do Sul, Rio Grande do Sul, Brazil	BR	BR23	22379	-32.0333	-52.0833	-666679	0								1	United States	US	US		39.828175	-98.5795	US	20220825144500	https://www.economist.com/the-americas/2022/08/25/brazils-governors-have-been-emboldened-under-jair-bolsonaro
1060155287	20210825	202108	2021	2021.6438	GOV	MINIST						GOV													0	051	051	05	1	3.4	10	1	10	2.7027027027027	4	Dharma, India (general), India	IN	IN00	70164	14.85	75.2667	-2094675	0								4	Dharma, India (general), India	IN	IN00	70164	14.85	75.2667	-2094675	20220825144500	https://news.webindia123.com/news/Articles/World/20220825/3976736.html
