1060131756	20210825	202108	2021	2021.6438	BUS	BANK						BUS													1	030	030	03	1	4.0	5	1	5	5.89622641509434	4	Seoul, Soul-t'ukpyolsi, South Korea	KS	KS11	24984	37.5664	127	-716583	0								4	Seoul, Soul-t'ukpyolsi, South Korea	KS	KS11	24984	37.5664	127	-716583	20220825114500	http://www.koreatimes.co.kr/www/biz/2022/08/126_335019.html
1060131757	20210825	202108	2021	2021.6438	ESP	SPANISH	ESP								USA	AMERICAN	USA								1	043	043	04	1	2.8	6	1	6	-5.12143611404435	1	Spain	SP	SP		40	-4	SP	3	Boston, Massachusetts, United States	US	USMA	MA025	42.3584	-71.0598	617565	3	Boston, Massachusetts, United States	US	USMA	MA025	42.3584	-71.0598	617565	20220825114500	https://www.theamericanconservative.com/civil-war-2-0-not-on-techno-totalitarians-watch/
1060131758	20210825	202108	2021	2021.6438	GBR	BRITAIN	GBR								ALB	ALBANIAN	ALB								1	043	043	04	1	2.8	4	1	4	-6.06796116504855	4	English Channel, United Kingdom (general), United Kingdom	UK	UK00	154724	54.5833	-3.68333	-2595622	4	Cuci, Berat, Albania	AL	AL40	3780	40.84	19.8006	-105995	4	Cuci, Berat, Albania	AL	AL40	3780	40.84	19.8006	-105995	20220825114500	https://mynorthwest.com/3607624/uk-to-fast-track-failed-albanian-asylum-seeker-deportations/
1060131759	20210825	202108	2021	2021.6438	GBR	BRITAIN	GBR								ALB	ALBANIAN	ALB								1	043	043	04	1	2.8	2	1	2	-6.06796116504855	4	English Channel, United Kingdom (general), United Kingdom	UK	UK00	154724	54.5833	-3.68333	-2595622	4	Cuci, Berat, Albania	AL	AL40	3780	40.84	19.8006	-105995	4	English Channel, United Kingdom (general), United Kingdom	UK	UK00	154724	54.5833	-3.68333	-2595622	20220825114500	https://mynorthwest.com/3607624/uk-to-fast-track-failed-albanian-asylum-seeker-deportations/
1060131760	20210825	202108	2021	2021.6438	MMRGOV	MYANMAR	MMR					GOV			GBR	BRITAIN	GBR								1	173	173	17	4	-5.0	1	1	1	-4.65631929046563	1	Japan	JA	JA		36	138	JA	1	Japan	JA	JA		36	138	JA	1	Japan	JA	JA		36	138	JA	20220825114500	https://www.investing.com/news/world-news/britains-former-myanmar-envoy-detained-in-yangon--sources-2879611
1060131761	20210825	202108	2021	2021.6438	USA	UNITED STATES	USA								ESP	SPANISH	ESP								1	042	042	04	1	1.9	1	1	1	-5.12143611404435	3	Boston, Massachusetts, United States	US	USMA	MA025	42.3584	-71.0598	617565	3	Boston, Massachusetts, United States	US	USMA	MA025	42.3584	-71.0598	617565	3	Boston, Massachusetts, United States	US	USMA	MA025	42.3584	-71.0598	617565	20220825114500	https://www.theamericanconservative.com/civil-war-2-0-not-on-techno-totalitarians-watch/
1060131762	20210825	202108	2021	2021.6438	USA	AMERICAN	USA								ESP	SPANISH	ESP								1	042	042	04	1	1.9	5	1	5	-5.12143611404435	3	Boston, Massachusetts, United States	US	USMA	MA025	42.3584	-71.0598	617565	1	Spain	SP	SP		40	-4	SP	3	Boston, Massachusetts, United States	US	USMA	MA025	42.3584	-71.0598	617565	20220825114500	https://www.theamericanconservative.com/civil-war-2-0-not-on-techno-totalitarians-watch/
1060131763	20220726	202207	2022	2022.5644	GOV	FOREIGN MINIST						GOV			DEU	GERMAN	DEU								0	030	030	03	1	4.0	2	1	2	-2.38500851788756	4	Riyad, Ar Riya?, Saudi Arabia	SA	SA10	25316	24.6408	46.7728	-3093009	1	Germany	GM	GM		51.5	10.5	GM	4	Riyad, Ar Riya?, Saudi Arabia	SA	SA10	25316	24.6408	46.7728	-3093009	20220825114500	https://www.jns.org/opinion/why-is-germany-still-funding-the-pa-and-plo/
1060131764	20220726	202207	2022	2022.5644	GOV	FOREIGN MINIST						GOV			DEUGOV	GERMAN	DEU					GOV			0	030	030	03	1	4.0	2	1	2	-2.38500851788756	4	Riyad, Ar Riya?, Saudi Arabia	SA	SA10	25316	24.6408	46.7728	-3093009	1	Germany	GM	GM		51.5	10.5	GM	4	Riyad, Ar Riya?, Saudi Arabia	SA	SA10	25316	24.6408	46.7728	-3093009	20220825114500	https://www.jns.org/opinion/why-is-germany-still-funding-the-pa-and-plo/
1060131765	20220726	202207	2022	2022.5644	GOV	GOVERNMENT						GOV			LEG	PARLIAMENT						LEG			0	010	010	01	1	0.0	2	1	2	-8.44444444444445	4	Jammu, Jammu and Kashmir, India	IN	IN12	72851	32.7333	74.8667	-2098228	4	Jammu, Jammu and Kashmir, India	IN	IN12	72851	32.7333	74.8667	-2098228	4	Jammu, Jammu and Kashmir, India	IN	IN12	72851	32.7333	74.8667	-2098228	20220825114500	https://timesofindia.indiatimes.com/india/home-minister-amit-shah-reviews-situation-in-jk/articleshow/93777482.cms
