1060104814	20210825	202108	2021	2021.6438	EDU	ECONOMIST						EDU			USA	NEW MEXICO	USA								0	071	071	07	2	7.4	10	1	10	-0.26086956521739	1	Mexico	MX	MX		23	-102	MX	1	Mexico	MX	MX		23	-102	MX	1	Mexico	MX	MX		23	-102	MX	20220825080000	https://www.lcsun-news.com/story/news/2022/08/25/climate-change-fossil-fuel-policies-top-issues-in-new-mexico-election/65416616007/
1060104815	20210825	202108	2021	2021.6438	HLH	HOSPITAL						HLH			SOM	MOGADISHU	SOM								0	046	046	04	1	7.0	5	1	5	0.42462845010616	4	Mogadishu, Banaadir, Somalia	SO	SO02	25691	2.06667	45.3667	-3227437	4	Mogadishu, Banaadir, Somalia	SO	SO02	25691	2.06667	45.3667	-3227437	4	Mogadishu, Banaadir, Somalia	SO	SO02	25691	2.06667	45.3667	-3227437	20220825080000	https://african.business/2022/08/apo-newsfeed/idil-awil-elmi-id-like-to-see-future-generations-free-from-mental-problems/
1060104816	20210825	202108	2021	2021.6438	JPN	JAPAN	JPN								GOV	EMPRESS						GOV			1	051	051	05	1	3.4	2	1	2	3.46666666666667	1	Japan	JA	JA		36	138	JA	1	Japan	JA	JA		36	138	JA	1	Japan	JA	JA		36	138	JA	20220825080000	https://vietnamnews.vn/politics-laws/1310224/president-hosts-young-japanese-parliamentarians.html
1060104817	20210825	202108	2021	2021.6438	SOM	MOGADISHU	SOM								HLH	HOSPITAL						HLH			0	046	046	04	1	7.0	5	1	5	0.42462845010616	4	Mogadishu, Banaadir, Somalia	SO	SO02	25691	2.06667	45.3667	-3227437	4	Mogadishu, Banaadir, Somalia	SO	SO02	25691	2.06667	45.3667	-3227437	4	Mogadishu, Banaadir, Somalia	SO	SO02	25691	2.06667	45.3667	-3227437	20220825080000	https://african.business/2022/08/apo-newsfeed/idil-awil-elmi-id-like-to-see-future-generations-free-from-mental-problems/
1060104818	20210825	202108	2021	2021.6438	SOMGOVHLH	SOMALIA	SOM					GOV	HLH		SOM	SOMALIA	SOM								0	010	010	01	1	0.0	5	1	5	0.42462845010616	4	Mogadishu, Banaadir, Somalia	SO	SO02	25691	2.06667	45.3667	-3227437	4	Mogadishu, Banaadir, Somalia	SO	SO02	25691	2.06667	45.3667	-3227437	4	Mogadishu, Banaadir, Somalia	SO	SO02	25691	2.06667	45.3667	-3227437	20220825080000	https://african.business/2022/08/apo-newsfeed/idil-awil-elmi-id-like-to-see-future-generations-free-from-mental-problems/
1060104819	20210825	202108	2021	2021.6438	TWNGOV	TAIWAN	TWN					GOV													0	020	020	02	1	3.0	10	1	10	-3.77643504531722	4	Penghu, Penghu Xian, Taiwan	TW	TW17	13277	23.57	119.57	-2633978	0								4	Penghu, Penghu Xian, Taiwan	TW	TW17	13277	23.57	119.57	-2633978	20220825080000	https://www.rfa.org/english/news/china/taiwan-drone-08252022021615.html
1060104820	20220726	202207	2022	2022.5644	JPN	JAPANESE	JPN								COP	PRISON						COP			0	141	141	14	3	-6.5	18	2	18	-5.93204373218594	1	Japan	JA	JA		36	138	JA	1	Japan	JA	JA		36	138	JA	1	Japan	JA	JA		36	138	JA	20220825080000	https://www.ibtimes.com/former-uk-ambassador-myanmar-detained-yangon-source-3605659
1060104821	20220726	202207	2022	2022.5644	JPN	JAPANESE	JPN								GOV	GOVERNMENT						GOV			0	175	175	17	4	-9.0	16	2	16	-5.93204373218594	1	Japan	JA	JA		36	138	JA	4	Yangon, Yangon, Myanmar	BM	BM17	41840	16.8053	96.1561	-440623	4	Yangon, Yangon, Myanmar	BM	BM17	41840	16.8053	96.1561	-440623	20220825080000	https://www.ibtimes.com/former-uk-ambassador-myanmar-detained-yangon-source-3605659
1060104822	20220726	202207	2022	2022.5644	JPN	JAPANESE	JPN								GOV	GOVERNMENT						GOV			0	175	175	17	4	-9.0	4	2	4	-5.93204373218594	1	Japan	JA	JA		36	138	JA	1	Japan	JA	JA		36	138	JA	1	Japan	JA	JA		36	138	JA	20220825080000	https://www.ibtimes.com/former-uk-ambassador-myanmar-detained-yangon-source-3605659
1060104823	20220726	202207	2022	2022.5644	JPNCOP	JAPAN	JPN					COP			JPNELI	SHINZO ABE	JPN					ELI			1	090	090	09	2	-2.0	5	1	5	-5.44554455445545	1	Japan	JA	JA		36	138	JA	1	Japan	JA	JA		36	138	JA	1	Japan	JA	JA		36	138	JA	20220825080000	https://economictimes.indiatimes.com/news/international/world-news/japan-police-chief-wants-to-resign-over-shinzo-abe-shooting/articleshow/93770405.cms
1060104824	20220726	202207	2022	2022.5644	JPNCOP	JAPAN	JPN					COP			JPNELI	SHINZO ABE	JPN					ELI			1	186	186	18	4	-10.0	5	1	5	-5.44554455445545	1	Japan	JA	JA		36	138	JA	1	Japan	JA	JA		36	138	JA	1	Japan	JA	JA		36	138	JA	20220825080000	https://economictimes.indiatimes.com/news/international/world-news/japan-police-chief-wants-to-resign-over-shinzo-abe-shooting/articleshow/93770405.cms
1060104825	20220818	202208	2022	2022.6247	LEG	PARLIAMENT						LEG			TON	TONGA	TON								0	173	173	17	4	-5.0	2	1	2	-4.17633410672853	1	Kiribati	KR	KR		-5	-170	KR	1	Kiribati	KR	KR		-5	-170	KR	1	Kiribati	KR	KR		-5	-170	KR	20220825080000	https://www.theepochtimes.com/law-council-urges-kiribati-to-respect-rule-of-law-after-attempts-to-oust-high-court-judge_4687541.html
1060104826	20220818	202208	2022	2022.6247	LEG	PARLIAMENT						LEG			TON	TONGAN	TON								0	173	173	17	4	-5.0	8	1	8	-4.17633410672853	1	Tonga	TN	TN		-20	-175	TN	1	Tonga	TN	TN		-20	-175	TN	1	Solomon Islands	BP	BP		-8	159	BP	20220825080000	https://www.theepochtimes.com/law-council-urges-kiribati-to-respect-rule-of-law-after-attempts-to-oust-high-court-judge_4687541.html
1060104827	20220825	202208	2022	2022.6438											AFR	AFRICA	AFR								1	173	173	17	4	-5.0	4	1	4	-11.5384615384615	0								4	Port Alfred, Eastern Cape, South Africa	SF	SF05	77317	-33.5906	26.891	-1273436	4	Port Alfred, Eastern Cape, South Africa	SF	SF05	77317	-33.5906	26.891	-1273436	20220825080000	https://www.saps.gov.za/newsroom/msspeechdetail.php?nid=41767
1060104828	20220825	202208	2022	2022.6438											ARE	UNITED ARAB EMIRATES	ARE								1	046	046	04	1	7.0	4	1	4	4.88431876606684	0								4	Dubai, Dubayy, United Arab Emirates	AE	AE03	28575	25.2522	55.28	-782831	4	Dubai, Dubayy, United Arab Emirates	AE	AE03	28575	25.2522	55.28	-782831	20220825080000	https://www.arabnews.com/node/2149956/lifestyle
1060104829	20220825	202208	2022	2022.6438											ARE	UNITED ARAB EMIRATES	ARE								1	050	050	05	1	3.5	4	1	4	4.88431876606684	0								4	Dubai, Dubayy, United Arab Emirates	AE	AE03	28575	25.2522	55.28	-782831	4	Dubai, Dubayy, United Arab Emirates	AE	AE03	28575	25.2522	55.28	-782831	20220825080000	https://www.arabnews.com/node/2149956/lifestyle
1060104830	20220825	202208	2022	2022.6438											AUSCOP	AUSTRALIA	AUS					COP			1	042	042	04	1	1.9	8	1	8	-1.31578947368421	0								4	Riverstone, New South Wales, Australia	AS	AS02	5017	-33.6833	150.867	-1597681	4	Riverstone, New South Wales, Australia	AS	AS02	5017	-33.6833	150.867	-1597681	20220825080000	https://www.miragenews.com/police-appeal-to-locate-teen-missing-from-843097/
1060104831	20220825	202208	2022	2022.6438											BGD	DHAKA	BGD								1	190	190	19	4	-10.0	10	1	10	-2.08333333333333	0								0								0								20220825080000	https://www.livemint.com/news/india/sonali-phogat-s-death-family-agrees-for-postmortem-with-this-condition-11661410463891.html
1060104832	20220825	202208	2022	2022.6438											BGR	BULGARIA	BGR								1	042	042	04	1	1.9	4	1	4	2.32919254658385	0								4	Buzet, Waals Gewest, Belgium	BE	BE14	5854	50.5379	4.36705	-1955710	4	Buzet, Waals Gewest, Belgium	BE	BE14	5854	50.5379	4.36705	-1955710	20220825080000	https://www.theepochtimes.com/17-year-old-pilot-sets-record-for-solo-flight-around-world_4685953.html
1060104833	20220825	202208	2022	2022.6438											BUS	COMPANIES						BUS			0	036	036	03	1	4.0	5	1	5	4.14746543778802	0								4	Bangkok, Krung Thep Mahanakhon, Thailand	TH	TH40	26423	13.75	100.517	-3250083	4	Bangkok, Krung Thep Mahanakhon, Thailand	TH	TH40	26423	13.75	100.517	-3250083	20220825080000	https://www.nationthailand.com/business/corporate/40019344
