1060127551	20210825	202108	2021	2021.6438											CVL	RESIDENTS						CVL			1	190	190	19	4	-10.0	10	1	10	-2.07612456747405	0								5	Benue State, Benue, Nigeria	NI	NI26	22689	7.33333	8.75	-2002535	5	Benue State, Benue, Nigeria	NI	NI26	22689	7.33333	8.75	-2002535	20220825111500	https://tribuneonlineng.com/ebonyi-council-chairman-inaugurates-egedegede-nkalaha-road-link-to-benue/
1060127552	20210825	202108	2021	2021.6438	CVL	COMMUNITY						CVL													1	051	051	05	1	3.4	6	1	6	0.43103448275862	3	Boston, Massachusetts, United States	US	USMA	MA025	42.3584	-71.0598	617565	0								3	Boston, Massachusetts, United States	US	USMA	MA025	42.3584	-71.0598	617565	20220825111500	https://www.dotnews.com/2022/worrell-community-ties
1060127553	20210825	202108	2021	2021.6438	CVL	COMMUNITY						CVL			GOV	PRESIDENT						GOV			0	043	043	04	1	2.8	10	1	10	-2.07612456747405	5	Benue State, Benue, Nigeria	NI	NI26	22689	7.33333	8.75	-2002535	5	Benue State, Benue, Nigeria	NI	NI26	22689	7.33333	8.75	-2002535	5	Benue State, Benue, Nigeria	NI	NI26	22689	7.33333	8.75	-2002535	20220825111500	https://tribuneonlineng.com/ebonyi-council-chairman-inaugurates-egedegede-nkalaha-road-link-to-benue/
1060127554	20210825	202108	2021	2021.6438	ETH	ETHIOPIA	ETH								GOV	PRIME MINISTER						GOV			0	043	043	04	1	2.8	4	1	4	-0.80160320641282	4	Oromo, Amara, Ethiopia	ET	ET46	40799	11.8667	39.7333	-618300	4	Oromo, Amara, Ethiopia	ET	ET46	40799	11.8667	39.7333	-618300	4	Oromo, Amara, Ethiopia	ET	ET46	40799	11.8667	39.7333	-618300	20220825111500	http://moderntokyotimes.com/ethiopia-and-tigray-in-fresh-military-clashes/
1060127555	20210825	202108	2021	2021.6438	ETH	ETHIOPIA	ETH								GOV	PRIME MINISTER						GOV			0	043	043	04	1	2.8	1	1	1	-0.80160320641282	1	Kenya	KE	KE		1	38	KE	1	Kenya	KE	KE		1	38	KE	1	Kenya	KE	KE		1	38	KE	20220825111500	http://moderntokyotimes.com/ethiopia-and-tigray-in-fresh-military-clashes/
1060127556	20210825	202108	2021	2021.6438	GOV	PRESIDENT						GOV			CVL	COMMUNITY						CVL			0	042	042	04	1	1.9	10	1	10	-2.07612456747405	5	Benue State, Benue, Nigeria	NI	NI26	22689	7.33333	8.75	-2002535	5	Benue State, Benue, Nigeria	NI	NI26	22689	7.33333	8.75	-2002535	5	Benue State, Benue, Nigeria	NI	NI26	22689	7.33333	8.75	-2002535	20220825111500	https://tribuneonlineng.com/ebonyi-council-chairman-inaugurates-egedegede-nkalaha-road-link-to-benue/
1060127557	20210825	202108	2021	2021.6438	GOV	PRESIDENT						GOV			CVL	COMMUNITY						CVL			0	111	111	11	3	-2.0	10	1	10	-2.07612456747405	5	Benue State, Benue, Nigeria	NI	NI26	22689	7.33333	8.75	-2002535	5	Benue State, Benue, Nigeria	NI	NI26	22689	7.33333	8.75	-2002535	5	Benue State, Benue, Nigeria	NI	NI26	22689	7.33333	8.75	-2002535	20220825111500	https://tribuneonlineng.com/ebonyi-council-chairman-inaugurates-egedegede-nkalaha-road-link-to-benue/
1060127558	20210825	202108	2021	2021.6438	GOV	PRIME MINISTER						GOV			ETH	ETHIOPIA	ETH								0	042	042	04	1	1.9	4	1	4	-0.80160320641282	4	Oromo, Amara, Ethiopia	ET	ET46	40799	11.8667	39.7333	-618300	4	Oromo, Amara, Ethiopia	ET	ET46	40799	11.8667	39.7333	-618300	4	Oromo, Amara, Ethiopia	ET	ET46	40799	11.8667	39.7333	-618300	20220825111500	http://moderntokyotimes.com/ethiopia-and-tigray-in-fresh-military-clashes/
1060127559	20210825	202108	2021	2021.6438	GOV	PRIME MINISTER						GOV			ETH	ETHIOPIA	ETH								0	042	042	04	1	1.9	1	1	1	-0.80160320641282	1	Kenya	KE	KE		1	38	KE	1	Kenya	KE	KE		1	38	KE	1	Kenya	KE	KE		1	38	KE	20220825111500	http://moderntokyotimes.com/ethiopia-and-tigray-in-fresh-military-clashes/
1060127560	20210825	202108	2021	2021.6438	GOV	PRIME MINISTER						GOV			MIL	MILITARY						MIL			0	042	042	04	1	1.9	4	1	4	-0.80160320641282	4	Oromo, Amara, Ethiopia	ET	ET46	40799	11.8667	39.7333	-618300	4	Oromo, Amara, Ethiopia	ET	ET46	40799	11.8667	39.7333	-618300	4	Oromo, Amara, Ethiopia	ET	ET46	40799	11.8667	39.7333	-618300	20220825111500	http://moderntokyotimes.com/ethiopia-and-tigray-in-fresh-military-clashes/
