1060049712	20210824	202108	2021	2021.6411	FRA	FRANCE	FRA																		0	172	172	17	4	-5.0	2	1	2	-4.6875	4	Vendargues, Languedoc-Roussillon, France	FR	FRA9	16287	43.6586	3.97266	-1475346	0								4	Vendargues, Languedoc-Roussillon, France	FR	FRA9	16287	43.6586	3.97266	-1475346	20220824230000	https://www.dailystar.co.uk/news/latest-news/cops-hunt-killer-clown-stalked-27826333
1060049713	20210824	202108	2021	2021.6411	USA	HOUSTON	USA																		0	114	114	11	3	-2.0	2	1	2	-1.92837465564739	4	Sydney, New South Wales, Australia	AS	AS02	154637	-33.8833	151.217	-1603135	0								3	Houston, Texas, United States	US	USTX	TX201	29.7633	-95.3633	1380948	20220824230000	https://www.christianpost.com:443/church-ministries/hillsong-making-changes-amid-financial-abuse-lawsuit.html
1060049714	20210824	202108	2021	2021.6411	USA	HOUSTON	USA																		0	114	114	11	3	-2.0	5	1	5	-1.92837465564739	3	Houston, Texas, United States	US	USTX	TX201	29.7633	-95.3633	1380948	0								3	Houston, Texas, United States	US	USTX	TX201	29.7633	-95.3633	1380948	20220824230000	https://www.christianpost.com:443/church-ministries/hillsong-making-changes-amid-financial-abuse-lawsuit.html
1060049715	20210824	202108	2021	2021.6411	USA	NEW YORK STATE	USA								JUD	JUDGE						JUD			1	010	010	01	1	0.0	6	1	6	-5.66037735849056	3	Manhattan, New York, United States	US	USNY	NY061	40.7834	-73.9662	971945	3	Manhattan, New York, United States	US	USNY	NY061	40.7834	-73.9662	971945	3	Manhattan, New York, United States	US	USNY	NY061	40.7834	-73.9662	971945	20220824230000	https://www.dailymail.co.uk/news/article-11143397/Harvey-Weinstein-granted-APPEAL-New-York-court.html
1060049716	20210824	202108	2021	2021.6411	USA	NEW YORK	USA								USAJUD	UNITED STATES	USA					JUD			1	010	010	01	1	0.0	1	1	1	-5.66037735849056	3	Manhattan, New York, United States	US	USNY	NY061	40.7834	-73.9662	971945	2	New York, United States	US	USNY		42.1497	-74.9384	NY	2	New York, United States	US	USNY		42.1497	-74.9384	NY	20220824230000	https://www.dailymail.co.uk/news/article-11143397/Harvey-Weinstein-granted-APPEAL-New-York-court.html
1060049717	20220725	202207	2022	2022.5616	LEG	CONGRESS						LEG			RUSMED	RUSSIAN	RUS					MED			1	043	043	04	1	2.8	10	1	10	-4.46735395189003	4	Moscow, Moskva, Russia	RS	RS48	25106	55.7522	37.6156	-2960561	4	Moscow, Moskva, Russia	RS	RS48	25106	55.7522	37.6156	-2960561	4	Moscow, Moskva, Russia	RS	RS48	25106	55.7522	37.6156	-2960561	20220824230000	https://religionnews.com/2022/08/24/potential-meeting-between-pope-francis-and-patriarch-kirill-canceled/
1060049718	20220725	202207	2022	2022.5616	RUS	RUSSIA	RUS								KAZ	KAZAKHSTAN	KAZ								1	0874	087	08	2	10.0	1	1	1	-4.46735395189003	4	Moscow, Moskva, Russia	RS	RS48	25106	55.7522	37.6156	-2960561	1	Kazakhstan	KZ	KZ		48	68	KZ	1	Ukraine	UP	UP		49	32	UP	20220824230000	https://religionnews.com/2022/08/24/potential-meeting-between-pope-francis-and-patriarch-kirill-canceled/
1060049719	20220725	202207	2022	2022.5616	RUS	RUSSIA	RUS								KAZ	KAZAKHSTAN	KAZ								1	0874	087	08	2	10.0	1	1	1	-4.46735395189003	4	Moscow, Moskva, Russia	RS	RS48	25106	55.7522	37.6156	-2960561	1	Ukraine	UP	UP		49	32	UP	1	Ukraine	UP	UP		49	32	UP	20220824230000	https://religionnews.com/2022/08/24/potential-meeting-between-pope-francis-and-patriarch-kirill-canceled/
1060049720	20220725	202207	2022	2022.5616	RUS	RUSSIAN	RUS								LEG	CONGRESS						LEG			1	160	160	16	4	-4.0	4	1	4	-4.46735395189003	4	Moscow, Moskva, Russia	RS	RS48	25106	55.7522	37.6156	-2960561	4	Moscow, Moskva, Russia	RS	RS48	25106	55.7522	37.6156	-2960561	4	Moscow, Moskva, Russia	RS	RS48	25106	55.7522	37.6156	-2960561	20220824230000	https://religionnews.com/2022/08/24/potential-meeting-between-pope-francis-and-patriarch-kirill-canceled/
1060049721	20220725	202207	2022	2022.5616	RUS	RUSSIAN	RUS								LEG	CONGRESS						LEG			1	160	160	16	4	-4.0	1	1	1	-4.46735395189003	1	Kazakhstan	KZ	KZ		48	68	KZ	4	Moscow, Moskva, Russia	RS	RS48	25106	55.7522	37.6156	-2960561	4	Moscow, Moskva, Russia	RS	RS48	25106	55.7522	37.6156	-2960561	20220824230000	https://religionnews.com/2022/08/24/potential-meeting-between-pope-francis-and-patriarch-kirill-canceled/
