1060112978	20210825	202108	2021	2021.6438											USA	OKLAHOMA	USA								0	042	042	04	1	1.9	4	1	4	-4.20841683366734	0								2	Oklahoma, United States	US	USOK		35.5376	-96.9247	OK	2	Texas, United States	US	USTX		31.106	-97.6475	TX	20220825091500	https://nmpoliticalreport.com/2022/08/25/abortion-fund-expanding-services-to-las-cruces/
1060112979	20210825	202108	2021	2021.6438	BEL	BELGIAN	BEL								IRN	IRANIAN	IRN								0	1383	138	13	3	-7.0	1	1	1	-5.15695067264574	4	Tehran, Tehran, Iran	IR	IR26	41130	35.75	51.5148	10074674	4	Tehran, Tehran, Iran	IR	IR26	41130	35.75	51.5148	10074674	4	Tehran, Tehran, Iran	IR	IR26	41130	35.75	51.5148	10074674	20220825091500	https://english.aawsat.com/home/article/3835536/bret-stephens/will-anyone-punish-iran-its-murderous-campaign
1060112980	20210825	202108	2021	2021.6438	BEL	BELGIAN	BEL								IRN	IRANIAN	IRN								0	1383	138	13	3	-7.0	4	1	4	-5.15695067264574	1	Belgium	BE	BE		50.833333	4	BE	4	Tehran, Tehran, Iran	IR	IR26	41130	35.75	51.5148	10074674	4	Tehran, Tehran, Iran	IR	IR26	41130	35.75	51.5148	10074674	20220825091500	https://english.aawsat.com/home/article/3835536/bret-stephens/will-anyone-punish-iran-its-murderous-campaign
1060112981	20210825	202108	2021	2021.6438	BEL	BELGIAN	BEL								IRN	IRANIAN	IRN								0	1383	138	13	3	-7.0	3	1	3	-5.15695067264574	2	New York, United States	US	USNY		42.1497	-74.9384	NY	2	New York, United States	US	USNY		42.1497	-74.9384	NY	2	New York, United States	US	USNY		42.1497	-74.9384	NY	20220825091500	https://english.aawsat.com/home/article/3835536/bret-stephens/will-anyone-punish-iran-its-murderous-campaign
1060112982	20210825	202108	2021	2021.6438	BEL	BELGIUM	BEL								IRN	IRANIAN	IRN								0	161	161	16	4	-4.0	2	1	2	-5.15695067264574	4	Tehran, Tehran, Iran	IR	IR26	41130	35.75	51.5148	10074674	4	Tehran, Tehran, Iran	IR	IR26	41130	35.75	51.5148	10074674	4	Tehran, Tehran, Iran	IR	IR26	41130	35.75	51.5148	10074674	20220825091500	https://english.aawsat.com/home/article/3835536/bret-stephens/will-anyone-punish-iran-its-murderous-campaign
1060112983	20210825	202108	2021	2021.6438	BEL	BELGIUM	BEL								IRN	IRANIAN	IRN								0	161	161	16	4	-4.0	2	1	2	-5.15695067264574	1	Belgium	BE	BE		50.833333	4	BE	4	Tehran, Tehran, Iran	IR	IR26	41130	35.75	51.5148	10074674	4	Tehran, Tehran, Iran	IR	IR26	41130	35.75	51.5148	10074674	20220825091500	https://english.aawsat.com/home/article/3835536/bret-stephens/will-anyone-punish-iran-its-murderous-campaign
1060112984	20210825	202108	2021	2021.6438	BEL	BELGIAN	BEL								IRNGOV	IRANIAN	IRN					GOV			0	161	161	16	4	-4.0	3	1	3	-5.15695067264574	1	Belgium	BE	BE		50.833333	4	BE	4	Tehran, Tehran, Iran	IR	IR26	41130	35.75	51.5148	10074674	4	Tehran, Tehran, Iran	IR	IR26	41130	35.75	51.5148	10074674	20220825091500	https://english.aawsat.com/home/article/3835536/bret-stephens/will-anyone-punish-iran-its-murderous-campaign
1060112985	20210825	202108	2021	2021.6438	DEUJUD	GERMANY	DEU					JUD			DEU	GERMANY	DEU								1	1243	124	12	3	-4.0	2	1	2	-9.06976744186045	1	Germany	GM	GM		51.5	10.5	GM	1	Germany	GM	GM		51.5	10.5	GM	1	Germany	GM	GM		51.5	10.5	GM	20220825091500	https://www.dw.com/en/germany-top-court-upholds-life-term-for-neo-nazi-in-politicians-murder/a-62919658
1060112986	20210825	202108	2021	2021.6438	DEUJUD	GERMANY	DEU					JUD			PTY	POLITICIAN									1	1243	124	12	3	-4.0	8	1	8	-9.06976744186045	1	Germany	GM	GM		51.5	10.5	GM	1	Germany	GM	GM		51.5	10.5	GM	1	Germany	GM	GM		51.5	10.5	GM	20220825091500	https://www.dw.com/en/germany-top-court-upholds-life-term-for-neo-nazi-in-politicians-murder/a-62919658
1060112987	20210825	202108	2021	2021.6438	DEUJUD	GERMANY	DEU					JUD			PTY	POLITICIAN									1	190	190	19	4	-10.0	10	1	10	-9.06976744186045	1	Germany	GM	GM		51.5	10.5	GM	1	Germany	GM	GM		51.5	10.5	GM	1	Germany	GM	GM		51.5	10.5	GM	20220825091500	https://www.dw.com/en/germany-top-court-upholds-life-term-for-neo-nazi-in-politicians-murder/a-62919658
1060112988	20210825	202108	2021	2021.6438	IRN	IRAN	IRN								BEL	BELGIUM	BEL								0	173	173	17	4	-5.0	2	1	2	-5.15695067264574	2	New York, United States	US	USNY		42.1497	-74.9384	NY	4	Tehran, Tehran, Iran	IR	IR26	41130	35.75	51.5148	10074674	4	Tehran, Tehran, Iran	IR	IR26	41130	35.75	51.5148	10074674	20220825091500	https://english.aawsat.com/home/article/3835536/bret-stephens/will-anyone-punish-iran-its-murderous-campaign
1060112989	20210825	202108	2021	2021.6438	IRN	IRANIAN	IRN								BEL	BELGIAN	BEL								0	173	173	17	4	-5.0	5	1	5	-5.15695067264574	2	New York, United States	US	USNY		42.1497	-74.9384	NY	2	New York, United States	US	USNY		42.1497	-74.9384	NY	2	New York, United States	US	USNY		42.1497	-74.9384	NY	20220825091500	https://english.aawsat.com/home/article/3835536/bret-stephens/will-anyone-punish-iran-its-murderous-campaign
