1060101605	20210825	202108	2021	2021.6438											MLT	MALTA	MLT								1	042	042	04	1	1.9	3	1	3	-2.49343832020997	0								4	Lampedusa, Italy (general), Italy	IT	IT00	18390	35.5	12.6	-119645	4	Lampedusa, Italy (general), Italy	IT	IT00	18390	35.5	12.6	-119645	20220825073000	https://www.maltatoday.com.mt/comment/blogs/118427/who_needs_the_far_right_anyway_when_we_have_pnpl
1060101606	20210825	202108	2021	2021.6438	ITA	ITALY	ITA								MLT	MALTA	MLT								1	042	042	04	1	1.9	1	1	1	-2.49343832020997	4	Lampedusa, Italy (general), Italy	IT	IT00	18390	35.5	12.6	-119645	4	Lampedusa, Italy (general), Italy	IT	IT00	18390	35.5	12.6	-119645	4	Lampedusa, Italy (general), Italy	IT	IT00	18390	35.5	12.6	-119645	20220825073000	https://www.maltatoday.com.mt/comment/blogs/118427/who_needs_the_far_right_anyway_when_we_have_pnpl
1060101607	20210825	202108	2021	2021.6438	ITA	ITALY	ITA								MLT	MALTA	MLT								1	042	042	04	1	1.9	1	1	1	-2.49343832020997	1	Malta	MT	MT		35.916667	14.433333	MT	4	Lampedusa, Italy (general), Italy	IT	IT00	18390	35.5	12.6	-119645	4	Lampedusa, Italy (general), Italy	IT	IT00	18390	35.5	12.6	-119645	20220825073000	https://www.maltatoday.com.mt/comment/blogs/118427/who_needs_the_far_right_anyway_when_we_have_pnpl
1060101608	20210825	202108	2021	2021.6438	JUD	PROSECUTOR						JUD			SDN	SUDAN	SDN								1	046	046	04	1	7.0	5	1	5	-7.47740345110929	4	Kutum, Shamal Darfur, Sudan	SU	SU55	37083	14.2	24.6667	-9550	4	Kutum, Shamal Darfur, Sudan	SU	SU55	37083	14.2	24.6667	-9550	4	Kutum, Shamal Darfur, Sudan	SU	SU55	37083	14.2	24.6667	-9550	20220825073000	https://allafrica.com/stories/202208250046.html
1060101609	20210825	202108	2021	2021.6438	MLT	MALTA	MLT																		1	043	043	04	1	2.8	3	1	3	-2.49343832020997	1	Malta	MT	MT		35.916667	14.433333	MT	0								1	Greece	GR	GR		39	22	GR	20220825073000	https://www.maltatoday.com.mt/comment/blogs/118427/who_needs_the_far_right_anyway_when_we_have_pnpl
1060101610	20210825	202108	2021	2021.6438	MLT	MALTA	MLT								ITA	ITALY	ITA								1	043	043	04	1	2.8	1	1	1	-2.49343832020997	4	Lampedusa, Italy (general), Italy	IT	IT00	18390	35.5	12.6	-119645	4	Lampedusa, Italy (general), Italy	IT	IT00	18390	35.5	12.6	-119645	4	Lampedusa, Italy (general), Italy	IT	IT00	18390	35.5	12.6	-119645	20220825073000	https://www.maltatoday.com.mt/comment/blogs/118427/who_needs_the_far_right_anyway_when_we_have_pnpl
1060101611	20210825	202108	2021	2021.6438	MLT	MALTA	MLT								ITA	ITALY	ITA								1	043	043	04	1	2.8	1	1	1	-2.49343832020997	1	Malta	MT	MT		35.916667	14.433333	MT	4	Lampedusa, Italy (general), Italy	IT	IT00	18390	35.5	12.6	-119645	1	Greece	GR	GR		39	22	GR	20220825073000	https://www.maltatoday.com.mt/comment/blogs/118427/who_needs_the_far_right_anyway_when_we_have_pnpl
1060101612	20210825	202108	2021	2021.6438	SDN	SUDAN	SDN								JUD	PROSECUTOR						JUD			1	046	046	04	1	7.0	5	1	5	-7.47740345110929	4	Kutum, Shamal Darfur, Sudan	SU	SU55	37083	14.2	24.6667	-9550	4	Kutum, Shamal Darfur, Sudan	SU	SU55	37083	14.2	24.6667	-9550	4	Kutum, Shamal Darfur, Sudan	SU	SU55	37083	14.2	24.6667	-9550	20220825073000	https://allafrica.com/stories/202208250046.html
1060101613	20210825	202108	2021	2021.6438	SDN	DARFUR	SDN								SDNGOV	SUDAN	SDN					GOV			0	012	012	01	1	-0.4	1	1	1	-4.54545454545454	4	Darfur, Gharb Darfur, Sudan	SU	SU47	37140	13.5	23.5	-17505	4	Darfur, Gharb Darfur, Sudan	SU	SU47	37140	13.5	23.5	-17505	4	Darfur, Gharb Darfur, Sudan	SU	SU47	37140	13.5	23.5	-17505	20220825073000	https://allafrica.com/stories/202208250050.html
1060101614	20210825	202108	2021	2021.6438	SDN	DARFUR	SDN								SDNGOV	SUDAN	SDN					GOV			0	012	012	01	1	-0.4	1	1	1	-4.54545454545454	4	Khartoum, Al Khartum, Sudan	SU	SU29	37069	15.5881	32.5342	-1987	4	Khartoum, Al Khartum, Sudan	SU	SU29	37069	15.5881	32.5342	-1987	4	Khartoum, Al Khartum, Sudan	SU	SU29	37069	15.5881	32.5342	-1987	20220825073000	https://allafrica.com/stories/202208250050.html
1060101615	20220726	202207	2022	2022.5644											USABUS	AMERICAN	USA					BUS			0	043	043	04	1	2.8	6	1	6	-0.98199672667757	0								2	Alaska, United States	US	USAK		61.385	-152.268	AK	2	Alaska, United States	US	USAK		61.385	-152.268	AK	20220825073000	https://www.northbaybusinessjournal.com/article/news/alaska-airlines-to-introduce-boeing-737s-in-service-to-sonoma-county-airpor/
