1060078657	20220825	202208	2022	2022.6438											AUS	AUSTRALIA	AUS								0	051	051	05	1	3.4	1	1	1	2.11640211640211	0								4	Southern Cross, Victoria, Australia	AS	AS07	5407	-38.3	142.4	-1601296	1	New Zealand	NZ	NZ		-42	174	NZ	20220825031500	https://business.scoop.co.nz/2022/08/25/another-record-year-for-mhm-automation/
1060078658	20220825	202208	2022	2022.6438											AUSELI	QUEENSLAND	AUS					ELI			1	040	040	04	1	1.0	4	1	4	-5.47945205479451	0								1	Australia	AS	AS		-25	135	AS	1	Australia	AS	AS		-25	135	AS	20220825031500	https://www.ifa.com.au/news/31676-government-outlines-royal-commission-into-monster-robodebt-scheme
1060078659	20220825	202208	2022	2022.6438											BGR	BULGARIA	BGR								1	042	042	04	1	1.9	10	1	10	0.625	0								4	Paris, France (general), France	FR	FR00	16282	48.8667	2.33333	-1456928	4	Paris, France (general), France	FR	FR00	16282	48.8667	2.33333	-1456928	20220825031500	https://www.parisguardian.com/news/272665238/the-orient-express-arrives-in-bulgaria-on-august-30
1060078660	20220825	202208	2022	2022.6438											BGR	BULGARIA	BGR								1	042	042	04	1	1.9	2	1	2	1.37524557956778	0								4	Atlantic Ocean, ,	OC	OCOC		10	-25	-1506320	4	Radomir, Stara Zagora, Bulgaria	BU	BU59	12051	42.3833	25.1667	-835248	20220825031500	http://www.koreatimes.co.kr/www/world/2022/08/501_334995.html
1060078661	20220825	202208	2022	2022.6438											BUS	BUSINESS						BUS			1	043	043	04	1	2.8	8	1	8	-0.57347670250896	0								4	Beijing, Beijing, China	CH	CH22	13001	39.9289	116.388	-1898541	4	Campinas, SãPaulo, Brazil	BR	BR27	11087	-22.9	-47.0833	-633905	20220825031500	https://dialogochino.net/en/uncategorised/57418-what-brazils-elections-could-mean-for-relations-with-china/
1060078662	20220825	202208	2022	2022.6438											BUS	BUSINESS						BUS			1	043	043	04	1	2.8	2	1	2	-0.57347670250896	0								4	Campinas, SãPaulo, Brazil	BR	BR27	11087	-22.9	-47.0833	-633905	4	Campinas, SãPaulo, Brazil	BR	BR27	11087	-22.9	-47.0833	-633905	20220825031500	https://dialogochino.net/en/uncategorised/57418-what-brazils-elections-could-mean-for-relations-with-china/
1060078663	20220825	202208	2022	2022.6438											BUS	TRADER						BUS			0	100	100	10	3	-5.0	5	1	5	-3.90143737166324	0								4	Lagos, Lagos, Nigeria	NI	NI05	191416	6.45306	3.39583	-2017355	4	Lagos, Lagos, Nigeria	NI	NI05	191416	6.45306	3.39583	-2017355	20220825031500	https://punchng.com/oro-worshippers-church-members-clash-lagos-tailor-dies/
1060078664	20220825	202208	2022	2022.6438											BUS	BUSINESS						BUS			0	193	193	19	4	-10.0	5	1	5	-9.46502057613169	0								3	Baltimore, Maryland, United States	US	USMD	MD510	39.2904	-76.6122	597040	3	Baltimore, Maryland, United States	US	USMD	MD510	39.2904	-76.6122	597040	20220825031500	https://www.bignewsnetwork.com/news/272665398/us-baltimore-shooting-leaves-1-dead-6-injured
1060078665	20220825	202208	2022	2022.6438											CHN	DONGGUAN	CHN								1	036	036	03	1	4.0	8	2	8	4.19415127528584	0								4	Dalong, Guangdong, China	CH	CH30	13047	23.3466	116.313	9203257	4	Macao, Macau (general), Macau	MC	MC00	13045	22.2006	113.546	-1204094	20220825031500	https://markets.businessinsider.com/news/stocks/dongguan-s-humen-to-embrace-a-culture-driven-economy-as-a-state-level-philatelic-exhibition-opens-1031704466
1060078666	20220825	202208	2022	2022.6438											CHN	GUANGDONG	CHN								1	042	042	04	1	1.9	10	2	10	4.19415127528584	0								4	Dalong, Guangdong, China	CH	CH30	13047	23.3466	116.313	9203257	4	Dalong, Guangdong, China	CH	CH30	13047	23.3466	116.313	9203257	20220825031500	https://markets.businessinsider.com/news/stocks/dongguan-s-humen-to-embrace-a-culture-driven-economy-as-a-state-level-philatelic-exhibition-opens-1031704466
