1060122091	20210825	202108	2021	2021.6438											AZE	AZERBAIJAN	AZE								0	057	057	05	1	8.0	10	1	10	2.79187817258884	0								4	Aghdam, Agdam, Azerbaijan	AJ	AJ03	488	39.991	46.9274	-2704657	4	Aghdam, Agdam, Azerbaijan	AJ	AJ03	488	39.991	46.9274	-2704657	20220825103000	https://menafn.com/1104754369/Italian-PM-Upbeat-About-Azerbaijans-Importance-In-Providing-Italy-With-Natural-Gas
1060122092	20210825	202108	2021	2021.6438	AZE	AZERBAIJAN	AZE																		0	057	057	05	1	8.0	10	1	10	2.79187817258884	4	Aghdam, Agdam, Azerbaijan	AJ	AJ03	488	39.991	46.9274	-2704657	0								4	Aghdam, Agdam, Azerbaijan	AJ	AJ03	488	39.991	46.9274	-2704657	20220825103000	https://menafn.com/1104754369/Italian-PM-Upbeat-About-Azerbaijans-Importance-In-Providing-Italy-With-Natural-Gas
1060122093	20210825	202108	2021	2021.6438	COL	COLOMBIA	COL								VEN	VENEZUELA	VEN								0	061	061	06	2	6.4	5	1	5	-0.76335877862595	1	Venezuela	VE	VE		8	-66	VE	1	Venezuela	VE	VE		8	-66	VE	1	Venezuela	VE	VE		8	-66	VE	20220825103000	http://www.msn.com/en-us/travel/news/border-reopening-stalls-as-maduro-mulls-impact-of-colombia-trade/ar-AA1151ov
1060122094	20210825	202108	2021	2021.6438	DEU	FRANKFURT	DEU																		1	0353	035	03	1	7.0	30	3	30	-6.32183908045979	4	Berlin, Berlin, Germany	GM	GM16	16538	52.5167	13.4	-1746443	0								4	Berlin, Berlin, Germany	GM	GM16	16538	52.5167	13.4	-1746443	20220825103000	https://apnews.com/article/crime-germany-migration-frankfurt-401cdcc0aca4722e7a368784ca2b5e96
1060122095	20210825	202108	2021	2021.6438	DEU	FRANKFURT	DEU																		1	173	173	17	4	-5.0	30	3	30	-6.32183908045979	4	Berlin, Berlin, Germany	GM	GM16	16538	52.5167	13.4	-1746443	0								4	Berlin, Berlin, Germany	GM	GM16	16538	52.5167	13.4	-1746443	20220825103000	https://apnews.com/article/crime-germany-migration-frankfurt-401cdcc0aca4722e7a368784ca2b5e96
1060122096	20210825	202108	2021	2021.6438	ITA	ITALY	ITA								RUS	RUSSIA	RUS								1	061	061	06	2	6.4	5	1	5	2.79187817258884	4	Aghdam, Agdam, Azerbaijan	AJ	AJ03	488	39.991	46.9274	-2704657	4	Aghdam, Agdam, Azerbaijan	AJ	AJ03	488	39.991	46.9274	-2704657	4	Aghdam, Agdam, Azerbaijan	AJ	AJ03	488	39.991	46.9274	-2704657	20220825103000	https://menafn.com/1104754369/Italian-PM-Upbeat-About-Azerbaijans-Importance-In-Providing-Italy-With-Natural-Gas
1060122097	20210825	202108	2021	2021.6438	PRTELI	ANTONIO GUTERRES	PRT					ELI													1	036	036	03	1	4.0	5	1	5	2	4	Kyiv, Kyyiv, Misto, Ukraine	UP	UP12	28554	50.4333	30.5167	-1044367	0								4	Kyiv, Kyyiv, Misto, Ukraine	UP	UP12	28554	50.4333	30.5167	-1044367	20220825103000	https://interfax.com/newsroom/top-stories/82529/
1060122098	20210825	202108	2021	2021.6438	PRTELI	ANTONIO GUTERRES	PRT					ELI			IGOUNO	THE UN		UNO				IGO			1	036	036	03	1	4.0	5	1	5	2	4	Kyiv, Kyyiv, Misto, Ukraine	UP	UP12	28554	50.4333	30.5167	-1044367	4	Kyiv, Kyyiv, Misto, Ukraine	UP	UP12	28554	50.4333	30.5167	-1044367	4	Kyiv, Kyyiv, Misto, Ukraine	UP	UP12	28554	50.4333	30.5167	-1044367	20220825103000	https://interfax.com/newsroom/top-stories/82529/
1060122099	20210825	202108	2021	2021.6438	SWZ	SWAZILAND	SWZ								HLH	HOSPITAL						HLH			0	010	010	01	1	0.0	4	1	4	-4.6448087431694	1	Swaziland	WZ	WZ		-26.5	31.5	WZ	1	Swaziland	WZ	WZ		-26.5	31.5	WZ	1	Swaziland	WZ	WZ		-26.5	31.5	WZ	20220825103000	https://mg.co.za/africa/2022-08-25-eswatinis-king-mswati-accused-of-assaulting-yet-another-wife/
1060122100	20210825	202108	2021	2021.6438	UKR	UKRAINIAN	UKR								UKRGOV	UKRAINE	UKR					GOV			1	026	026	02	1	4.0	2	1	2	2	4	Kyiv, Kyyiv, Misto, Ukraine	UP	UP12	28554	50.4333	30.5167	-1044367	4	Kyiv, Kyyiv, Misto, Ukraine	UP	UP12	28554	50.4333	30.5167	-1044367	4	Kyiv, Kyyiv, Misto, Ukraine	UP	UP12	28554	50.4333	30.5167	-1044367	20220825103000	https://interfax.com/newsroom/top-stories/82529/
