1060129626	20220818	202208	2022	2022.6247	COP	POLICE						COP			IND	MUMBAI	IND								1	010	010	01	1	0.0	2	1	2	-9.62962962962966	4	Mumbai, Maharashtra, India	IN	IN16	70184	18.975	72.8258	-2092174	4	Mumbai, Maharashtra, India	IN	IN16	70184	18.975	72.8258	-2092174	4	Vile Parle, Maharashtra, India	IN	IN16	70183	19.1	72.8333	-2114449	20220825113000	https://www.freepressjournal.in/mumbai/mumbai-ncp-leader-held-in-connection-with-death-of-govinda-during-janmashtami
1060129627	20220818	202208	2022	2022.6247	COP	POLICE						COP			LEGPTY	CONGRESS						LEG			1	010	010	01	1	0.0	2	1	2	-9.62962962962966	4	Mumbai, Maharashtra, India	IN	IN16	70184	18.975	72.8258	-2092174	4	Mumbai, Maharashtra, India	IN	IN16	70184	18.975	72.8258	-2092174	4	Mumbai, Maharashtra, India	IN	IN16	70184	18.975	72.8258	-2092174	20220825113000	https://www.freepressjournal.in/mumbai/mumbai-ncp-leader-held-in-connection-with-death-of-govinda-during-janmashtami
1060129628	20220818	202208	2022	2022.6247	COP	POLICE						COP			LEGPTY	CONGRESS						LEG			1	173	173	17	4	-5.0	2	1	2	-9.62962962962966	4	Vile Parle, Maharashtra, India	IN	IN16	70183	19.1	72.8333	-2114449	4	Vile Parle, Maharashtra, India	IN	IN16	70183	19.1	72.8333	-2114449	4	Vile Parle, Maharashtra, India	IN	IN16	70183	19.1	72.8333	-2114449	20220825113000	https://www.freepressjournal.in/mumbai/mumbai-ncp-leader-held-in-connection-with-death-of-govinda-during-janmashtami
1060129629	20220818	202208	2022	2022.6247	CVL	COMMUNITY						CVL													0	010	010	01	1	0.0	6	1	6	-3.25732899022801	4	Khayelitsha, Western Cape, South Africa	SF	SF11	77317	-34.0393	18.6792	-1243454	0								4	Khayelitsha, Western Cape, South Africa	SF	SF11	77317	-34.0393	18.6792	-1243454	20220825113000	https://www.iol.co.za/capetimes/news/bheki-cele-lifts-lid-on-staged-kidnappings-3c77864b-fae3-4ee0-9e85-80030ea0c148
1060129630	20220818	202208	2022	2022.6247	CVL	COMMUNITY						CVL													0	046	046	04	1	7.0	6	1	6	-3.25732899022801	4	Khayelitsha, Western Cape, South Africa	SF	SF11	77317	-34.0393	18.6792	-1243454	0								4	Khayelitsha, Western Cape, South Africa	SF	SF11	77317	-34.0393	18.6792	-1243454	20220825113000	https://www.iol.co.za/capetimes/news/bheki-cele-lifts-lid-on-staged-kidnappings-3c77864b-fae3-4ee0-9e85-80030ea0c148
1060129631	20220818	202208	2022	2022.6247	CVL	COMMUNITY						CVL			AFR	AFRICA	AFR								0	046	046	04	1	7.0	4	1	4	-3.25732899022801	4	Khayelitsha, Western Cape, South Africa	SF	SF11	77317	-34.0393	18.6792	-1243454	4	Khayelitsha, Western Cape, South Africa	SF	SF11	77317	-34.0393	18.6792	-1243454	4	Khayelitsha, Western Cape, South Africa	SF	SF11	77317	-34.0393	18.6792	-1243454	20220825113000	https://www.iol.co.za/capetimes/news/bheki-cele-lifts-lid-on-staged-kidnappings-3c77864b-fae3-4ee0-9e85-80030ea0c148
1060129632	20220818	202208	2022	2022.6247	CVLEDU	COMMUNITY						CVL	EDU												1	010	010	01	1	0.0	5	1	5	0.60975609756097	1	United States	US	US		39.828175	-98.5795	US	0								1	United States	US	US		39.828175	-98.5795	US	20220825113000	https://www.thedailyreporter.com/story/news/politics/government/2022/08/25/county-delays-using-arp-funds-to-train-lifecare-emts/65412959007/
1060129633	20220818	202208	2022	2022.6247	ETH	ETHIOPIA	ETH								CVL	POPULATION						CVL			1	020	020	02	1	3.0	2	1	2	-9.49720670391062	4	Tigray, Tigray, Ethiopia	ET	ET53	149298	13.5	39.5	-620571	4	Tigray, Tigray, Ethiopia	ET	ET53	149298	13.5	39.5	-620571	4	Tigray, Tigray, Ethiopia	ET	ET53	149298	13.5	39.5	-620571	20220825113000	https://www.eyeradio.org/ethiopias-tigray-war-fresh-fighting-shatters-humanitarian-truce/
1060129634	20220818	202208	2022	2022.6247	GOV	PRESIDENT						GOV			PHL	PHILIPPINE	PHL								0	030	030	03	1	4.0	2	1	2	1.12359550561798	4	Malaca, Pangasinan, Philippines	RP	RP51	24225	15.8334	120.378	-2436250	4	Malaca, Pangasinan, Philippines	RP	RP51	24225	15.8334	120.378	-2436250	4	Malaca, Pangasinan, Philippines	RP	RP51	24225	15.8334	120.378	-2436250	20220825113000	https://www.gmanetwork.com/news/money/economy/842775/sra-order-on-importation-of-150k-metric-tons-of-sugar-out-by-mid-september/story/
1060129635	20220818	202208	2022	2022.6247	GOV	PRESIDENT						GOV			PHL	PHILIPPINE	PHL								0	0353	035	03	1	7.0	2	1	2	1.12359550561798	4	Malaca, Pangasinan, Philippines	RP	RP51	24225	15.8334	120.378	-2436250	4	Malaca, Pangasinan, Philippines	RP	RP51	24225	15.8334	120.378	-2436250	4	Malaca, Pangasinan, Philippines	RP	RP51	24225	15.8334	120.378	-2436250	20220825113000	https://www.gmanetwork.com/news/money/economy/842775/sra-order-on-importation-of-150k-metric-tons-of-sugar-out-by-mid-september/story/
