1060097194	20210825	202108	2021	2021.6438											USA	UNITED STATES	USA								1	040	040	04	1	1.0	3	1	3	-3.43053173241852	0								3	Albuquerque, New Mexico, United States	US	USNM	NM001	35.0845	-106.651	928679	2	New Mexico, United States	US	USNM		34.8375	-106.237	NM	20220825064500	https://www.santafenewmexican.com/news/local_news/prominent-new-mexico-lawmaker-pushes-for-action-on-alcohol-deaths/article_22dc0516-2333-11ed-a011-abc08706c4a0.html
1060097195	20210825	202108	2021	2021.6438	AFGLEG	AFGHAN	AFG					LEG			AFG	AFGHAN	AFG								0	010	010	01	1	0.0	6	1	6	-2.97435897435897	4	Kabul, Kabol, Afghanistan	AF	AF13	3580	34.5167	69.1833	-3378435	4	Kabul, Kabol, Afghanistan	AF	AF13	3580	34.5167	69.1833	-3378435	4	Kabul, Kabol, Afghanistan	AF	AF13	3580	34.5167	69.1833	-3378435	20220825064500	https://www.theguardian.com/global-development/2022/aug/25/afghan-women-exile-taliban-global-policy
1060097196	20210825	202108	2021	2021.6438	AFGLEG	AFGHAN	AFG					LEG			USA	THE US	USA								0	042	042	04	1	1.9	6	1	6	-2.97435897435897	4	Kabul, Kabol, Afghanistan	AF	AF13	3580	34.5167	69.1833	-3378435	4	Kabul, Kabol, Afghanistan	AF	AF13	3580	34.5167	69.1833	-3378435	4	Kabul, Kabol, Afghanistan	AF	AF13	3580	34.5167	69.1833	-3378435	20220825064500	https://www.theguardian.com/global-development/2022/aug/25/afghan-women-exile-taliban-global-policy
1060097197	20210825	202108	2021	2021.6438	LAB	WORKER						LAB													1	180	180	18	4	-9.0	2	1	2	-3.63036303630363	4	Upcot, Central, Sri Lanka	CE	CE29	25845	6.7821	80.6255	-2238402	0								4	Upcot, Central, Sri Lanka	CE	CE29	25845	6.7821	80.6255	-2238402	20220825064500	https://www.wsws.org/en/articles/2022/08/25/xauz-a25.html
1060097198	20210825	202108	2021	2021.6438	LAB	WORKER						LAB			LKA	SRI LANKA	LKA								1	180	180	18	4	-9.0	6	1	6	-3.63036303630363	4	Upcot, Central, Sri Lanka	CE	CE29	25845	6.7821	80.6255	-2238402	4	Upcot, Central, Sri Lanka	CE	CE29	25845	6.7821	80.6255	-2238402	4	Upcot, Central, Sri Lanka	CE	CE29	25845	6.7821	80.6255	-2238402	20220825064500	https://www.wsws.org/en/articles/2022/08/25/xauz-a25.html
1060097199	20210825	202108	2021	2021.6438	LKA	SRI LANKA	LKA																		1	180	180	18	4	-9.0	2	1	2	-3.63036303630363	4	Upcot, Central, Sri Lanka	CE	CE29	25845	6.7821	80.6255	-2238402	0								4	Upcot, Central, Sri Lanka	CE	CE29	25845	6.7821	80.6255	-2238402	20220825064500	https://www.wsws.org/en/articles/2022/08/25/xauz-a25.html
1060097200	20210825	202108	2021	2021.6438	LKA	SRI LANKA	LKA								LAB	WORKER						LAB			1	173	173	17	4	-5.0	6	1	6	-3.63036303630363	4	Upcot, Central, Sri Lanka	CE	CE29	25845	6.7821	80.6255	-2238402	4	Upcot, Central, Sri Lanka	CE	CE29	25845	6.7821	80.6255	-2238402	4	Upcot, Central, Sri Lanka	CE	CE29	25845	6.7821	80.6255	-2238402	20220825064500	https://www.wsws.org/en/articles/2022/08/25/xauz-a25.html
1060097201	20210825	202108	2021	2021.6438	TWN	TAIPEI	TWN																		1	020	020	02	1	3.0	10	1	10	-1.96506550218341	4	Beijing, Beijing, China	CH	CH22	13001	39.9289	116.388	-1898541	0								4	Beijing, Beijing, China	CH	CH22	13001	39.9289	116.388	-1898541	20220825064500	https://www.ibtimes.com/taiwan-announces-plans-record-defence-budget-after-china-drills-3605616
1060097202	20210825	202108	2021	2021.6438	USA	UNITED STATES	USA																		1	040	040	04	1	1.0	2	1	2	-3.43053173241852	3	Las Cruces, New Mexico, United States	US	USNM	NM013	32.3123	-106.778	899715	0								3	Las Cruces, New Mexico, United States	US	USNM		32.3123	-106.778	899715	20220825064500	https://www.santafenewmexican.com/news/local_news/prominent-new-mexico-lawmaker-pushes-for-action-on-alcohol-deaths/article_22dc0516-2333-11ed-a011-abc08706c4a0.html
1060097203	20210825	202108	2021	2021.6438	USA	UNITED STATES	USA																		1	040	040	04	1	1.0	2	1	2	-3.43053173241852	3	Albuquerque, New Mexico, United States	US	USNM	NM001	35.0845	-106.651	928679	0								2	New Mexico, United States	US	USNM		34.8375	-106.237	NM	20220825064500	https://www.santafenewmexican.com/news/local_news/prominent-new-mexico-lawmaker-pushes-for-action-on-alcohol-deaths/article_22dc0516-2333-11ed-a011-abc08706c4a0.html
