1060098605	20210825	202108	2021	2021.6438	GOV	AUTHORITIES						GOV													1	190	190	19	4	-10.0	10	1	10	-8.41487279843444	4	Anchieta, Santa Catarina, Brazil	BR	BR26	10740	-26.55	-53.2833	-624782	0								4	Anchieta, Santa Catarina, Brazil	BR	BR26	10740	-26.55	-53.2833	-624782	20220825070000	https://unicornriot.ninja/2022/brazil-nearly-7500-fall-victim-to-femicides-and-police-killings/
1060098606	20210825	202108	2021	2021.6438	LEG	CONGRESS						LEG			USA	UNITED STATES	USA								0	010	010	01	1	0.0	1	1	1	-4.19047619047619	2	California, United States	US	USCA		36.17	-119.746	CA	2	California, United States	US	USCA		36.17	-119.746	CA	2	California, United States	US	USCA		36.17	-119.746	CA	20220825070000	http://www.msn.com/en-us/news/us/montana-republican-ryan-zinke-caught-lying-to-investigators-several-times-interior-dept-ig-report-reveals/ar-AA113u0c
1060098607	20210825	202108	2021	2021.6438	LEG	CONGRESS						LEG			USA	CALIFORNIA	USA								0	010	010	01	1	0.0	4	1	4	-4.19047619047619	2	Montana, United States	US	USMT		46.9048	-110.326	MT	2	California, United States	US	USCA		36.17	-119.746	CA	2	California, United States	US	USCA		36.17	-119.746	CA	20220825070000	http://www.msn.com/en-us/news/us/montana-republican-ryan-zinke-caught-lying-to-investigators-several-times-interior-dept-ig-report-reveals/ar-AA113u0c
1060098608	20210825	202108	2021	2021.6438	LEG	CONGRESS						LEG			USA	UNITED STATES	USA								0	112	112	11	3	-2.0	1	1	1	-4.19047619047619	2	California, United States	US	USCA		36.17	-119.746	CA	2	Montana, United States	US	USMT		46.9048	-110.326	MT	2	Montana, United States	US	USMT		46.9048	-110.326	MT	20220825070000	http://www.msn.com/en-us/news/us/montana-republican-ryan-zinke-caught-lying-to-investigators-several-times-interior-dept-ig-report-reveals/ar-AA113u0c
1060098609	20210825	202108	2021	2021.6438	LEG	CONGRESS						LEG			USA	UNITED STATES	USA								0	112	112	11	3	-2.0	1	1	1	-4.19047619047619	2	Montana, United States	US	USMT		46.9048	-110.326	MT	2	Montana, United States	US	USMT		46.9048	-110.326	MT	2	Montana, United States	US	USMT		46.9048	-110.326	MT	20220825070000	http://www.msn.com/en-us/news/us/montana-republican-ryan-zinke-caught-lying-to-investigators-several-times-interior-dept-ig-report-reveals/ar-AA113u0c
1060098610	20210825	202108	2021	2021.6438	USA	UNITED STATES	USA																		0	010	010	01	1	0.0	1	1	1	-4.19047619047619	2	Montana, United States	US	USMT		46.9048	-110.326	MT	0								2	California, United States	US	USCA		36.17	-119.746	CA	20220825070000	http://www.msn.com/en-us/news/us/montana-republican-ryan-zinke-caught-lying-to-investigators-several-times-interior-dept-ig-report-reveals/ar-AA113u0c
1060098611	20220726	202207	2022	2022.5644	JPN	TOKYO	JPN								JPNELI	SHINZO ABE	JPN					ELI			1	090	090	09	2	-2.0	7	1	7	-4.85436893203884	4	Tokyo, Tokyo, Japan	JA	JA40	36340	35.685	139.751	-246227	4	Tokyo, Tokyo, Japan	JA	JA40	36340	35.685	139.751	-246227	4	Tokyo, Tokyo, Japan	JA	JA40	36340	35.685	139.751	-246227	20220825070000	https://mb.com.ph/2022/08/25/japan-national-police-chief-resigns-over-abe-assassination/
1060098612	20220726	202207	2022	2022.5644	JPN	TOKYO	JPN								JPNELI	SHINZO ABE	JPN					ELI			1	186	186	18	4	-10.0	7	1	7	-4.85436893203884	4	Tokyo, Tokyo, Japan	JA	JA40	36340	35.685	139.751	-246227	4	Tokyo, Tokyo, Japan	JA	JA40	36340	35.685	139.751	-246227	4	Tokyo, Tokyo, Japan	JA	JA40	36340	35.685	139.751	-246227	20220825070000	https://mb.com.ph/2022/08/25/japan-national-police-chief-resigns-over-abe-assassination/
1060098613	20220818	202208	2022	2022.6247	CHN	BEIJING	CHN								CHNMED	CHINA	CHN					MED			0	120	120	12	3	-4.0	1	1	1	-1.05820105820105	4	Beijing, Beijing, China	CH	CH22	13001	39.9289	116.388	-1898541	4	Beijing, Beijing, China	CH	CH22	13001	39.9289	116.388	-1898541	4	Beijing, Beijing, China	CH	CH22	13001	39.9289	116.388	-1898541	20220825070000	https://english.newstracklive.com/news/us-eager-to-manage-differences-with-china-amid-tensions-over-taiwan-visit-sc57-nu355-ta355-1246508-1.html
1060098614	20220818	202208	2022	2022.6247	CHN	BEIJING	CHN								MEDGOV	SPOKESMAN						MED	GOV		0	120	120	12	3	-4.0	7	1	7	-1.05820105820105	4	Beijing, Beijing, China	CH	CH22	13001	39.9289	116.388	-1898541	4	Beijing, Beijing, China	CH	CH22	13001	39.9289	116.388	-1898541	4	Beijing, Beijing, China	CH	CH22	13001	39.9289	116.388	-1898541	20220825070000	https://english.newstracklive.com/news/us-eager-to-manage-differences-with-china-amid-tensions-over-taiwan-visit-sc57-nu355-ta355-1246508-1.html
