1060198505	20120827	201208	2012	2012.6493	GOV	GOVERNMENT						GOV													1	130	130	13	3	-4.4	5	1	5	-5.05725190839694	4	Kampala, Kampala, Uganda	UG	UG37	18585	0.315556	32.5656	-1728891	0								4	Kampala, Kampala, Uganda	UG	UG37	18585	0.315556	32.5656	-1728891	20220825201500	https://scroll.in/article/1031115/it-wasnt-only-asians-who-suffered-in-idi-amins-economic-war-ugandas-africans-did-too
1060198506	20210825	202108	2021	2021.6438	GBR	UNITED KINGDOM	GBR								EGY	EGYPT	EGY								1	0841	084	08	2	7.0	2	1	2	2.23214285714286	4	Glasgow, Glasgow City, United Kingdom	UK	UKV2	40176	55.8333	-4.25	-2597039	4	Glasgow, Glasgow City, United Kingdom	UK	UKV2	40176	55.8333	-4.25	-2597039	4	Glasgow, Glasgow City, United Kingdom	UK	UKV2	40176	55.8333	-4.25	-2597039	20220825201500	https://www.miragenews.com/uk-pm-call-with-president-abdel-fattah-al-sisi-843444/
1060198507	20210825	202108	2021	2021.6438	GBR	UNITED KINGDOM	GBR								EGY	EGYPT	EGY								1	0841	084	08	2	7.0	8	1	8	2.23214285714286	4	Glasgow, Glasgow City, United Kingdom	UK	UKV2	40176	55.8333	-4.25	-2597039	1	Egypt	EG	EG		27	30	EG	4	Glasgow, Glasgow City, United Kingdom	UK	UKV2	40176	55.8333	-4.25	-2597039	20220825201500	https://www.miragenews.com/uk-pm-call-with-president-abdel-fattah-al-sisi-843444/
1060198508	20210825	202108	2021	2021.6438	USA	UNITED STATES	USA																		1	017	017	01	1	0.0	2	1	2	3.82352941176471	3	Manitowoc, Wisconsin, United States	US	USWI	WI071	44.0886	-87.6576	1568942	0								3	Manitowoc, Wisconsin, United States	US	USWI	WI071	44.0886	-87.6576	1568942	20220825201500	https://www.wispolitics.com/2022/gov-evers-announces-900000-harbor-assistance-program-grant-for-the-port-of-manitowoc/
1060198509	20220726	202207	2022	2022.5644											USA	UNITED STATES	USA								1	073	073	07	2	7.4	1	1	1	0.37523452157599	0								3	Richmond, Virginia, United States	US	USVA	VA760	37.5538	-77.4603	1499957	3	Richmond, Virginia, United States	US	USVA	VA760	37.5538	-77.4603	1499957	20220825201500	https://www.washingtonpost.com/dc-md-va/2022/08/25/prince-harry-meghan-beagle-envigo/
1060198510	20220726	202207	2022	2022.5644	GOV	PRINCE						GOV			USA	UNITED STATES	USA								1	042	042	04	1	1.9	1	1	1	0.37523452157599	3	Sussex, Virginia, United States	US	USVA	VA710	36.9171	-76.286	1497172	3	Los Angeles, California, United States	US	USCA		34.0522	-118.244	1662328	3	Los Angeles, California, United States	US	USCA		34.0522	-118.244	1662328	20220825201500	https://www.washingtonpost.com/dc-md-va/2022/08/25/prince-harry-meghan-beagle-envigo/
1060198511	20220726	202207	2022	2022.5644	GOV	PRINCE						GOV			USA	UNITED STATES	USA								1	073	073	07	2	7.4	1	1	1	0.37523452157599	3	Richmond, Virginia, United States	US	USVA	VA760	37.5538	-77.4603	1499957	3	Richmond, Virginia, United States	US	USVA	VA760	37.5538	-77.4603	1499957	3	Richmond, Virginia, United States	US	USVA	VA760	37.5538	-77.4603	1499957	20220825201500	https://www.washingtonpost.com/dc-md-va/2022/08/25/prince-harry-meghan-beagle-envigo/
1060198512	20220726	202207	2022	2022.5644	USA	UNITED STATES	USA								GOV	PRINCE						GOV			1	043	043	04	1	2.8	1	1	1	0.37523452157599	3	Los Angeles, California, United States	US	USCA	CA037	34.0522	-118.244	1662328	3	Sussex, Virginia, United States	US	USVA	VA710	36.9171	-76.286	1497172	3	Los Angeles, California, United States	US	USCA		34.0522	-118.244	1662328	20220825201500	https://www.washingtonpost.com/dc-md-va/2022/08/25/prince-harry-meghan-beagle-envigo/
1060198513	20220726	202207	2022	2022.5644	USA	IDAHO	USA								USALEG	IDAHO	USA					LEG			1	043	043	04	1	2.8	30	3	30	-0.151377535573723	2	Idaho, United States	US	USID		44.2394	-114.51	ID	2	Idaho, United States	US	USID		44.2394	-114.51	ID	2	Idaho, United States	US	USID		44.2394	-114.51	ID	20220825201500	https://www.kxly.com/i/us-seeks-to-invalidate-idaho-water-rights-forfeiture-laws/
1060198514	20220726	202207	2022	2022.5644	USALEG	IDAHO	USA					LEG			USA	IDAHO	USA								1	042	042	04	1	1.9	30	3	30	-0.151377535573723	2	Idaho, United States	US	USID		44.2394	-114.51	ID	2	Idaho, United States	US	USID		44.2394	-114.51	ID	2	Idaho, United States	US	USID		44.2394	-114.51	ID	20220825201500	https://www.kxly.com/i/us-seeks-to-invalidate-idaho-water-rights-forfeiture-laws/
1060198515	20220818	202208	2022	2022.6247	CVL	COMMUNITY						CVL			DNK	DENMARK	DNK								1	043	043	04	1	2.8	2	1	2	3.75	4	London, London, City of, United Kingdom	UK	UKH9	40110	51.5	-0.116667	-2601889	4	Copenhagen, Køavn*, Denmark	DA	DA05	15213	55.6667	12.5833	-2745636	4	London, London, City of, United Kingdom	UK	UKH9	40110	51.5	-0.116667	-2601889	20220825201500	https://www.screendaily.com/news/us-academy-to-step-up-international-member-engagement-says-new-ceo/5173778.article
1060198516	20220818	202208	2022	2022.6247	CVL	COMMUNITY						CVL			DNK	DENMARK	DNK								1	043	043	04	1	2.8	2	1	2	3.75	4	Copenhagen, Køavn*, Denmark	DA	DA05	15213	55.6667	12.5833	-2745636	4	Copenhagen, Køavn*, Denmark	DA	DA05	15213	55.6667	12.5833	-2745636	4	Copenhagen, Køavn*, Denmark	DA	DA05	15213	55.6667	12.5833	-2745636	20220825201500	https://www.screendaily.com/news/us-academy-to-step-up-international-member-engagement-says-new-ceo/5173778.article
