1059115043	20210818	202108	2021	2021.6247	GBR	UNITED KINGDOM	GBR																		1	0231	023	02	1	3.4	6	1	6	1.26582278481012	4	English Channel, United Kingdom (general), United Kingdom	UK	UK00	154724	54.5833	-3.68333	-2595622	0								4	English Channel, United Kingdom (general), United Kingdom	UK	UK00	154724	54.5833	-3.68333	-2595622	20220818083000	https://www.theargus.co.uk/news/20670240.brighton-college-head-boy-turns-cambridge-yale/
1059115044	20210818	202108	2021	2021.6247	JUD	PUBLIC PROSECUTOR						JUD			OPP	ACTIVIST						OPP			1	016	016	01	1	-2.0	10	1	10	-7.36543909348442	4	Bangkok, Krung Thep Mahanakhon, Thailand	TH	TH40	26423	13.75	100.517	-3250083	4	Bangkok, Krung Thep Mahanakhon, Thailand	TH	TH40	26423	13.75	100.517	-3250083	4	Bangkok, Krung Thep Mahanakhon, Thailand	TH	TH40	26423	13.75	100.517	-3250083	20220818083000	https://www.bangkokpost.com/thailand/general/2371466/covid-committee-to-consider-endemic-status
1059115045	20210818	202108	2021	2021.6247	OPP	DEMOCRACY ACTIVIST						OPP													0	015	015	01	1	0.0	5	1	5	-9.67117988394585	4	Lai Chi Kok, Hong Kong (general), Hong Kong	HK	HK00	13031	22.3333	114.133	-1353312	0								4	Lai Chi Kok, Hong Kong (general), Hong Kong	HK	HK00	13031	22.3333	114.133	-1353312	20220818083000	https://www.bangkokpost.com/world/2371483/joshua-wong-to-plead-guilty-in-hong-kong-security-case
1059115046	20220811	202208	2022	2022.6055	COP	POLICE CHIEF						COP			FRA	PARIS	FRA								1	026	026	02	1	4.0	1	1	1	-3.18021201413428	3	Thousand Oaks, California, United States	US	USCA	CA111	34.1706	-118.838	1661567	3	Thousand Oaks, California, United States	US	USCA		34.1706	-118.838	1661567	3	Thousand Oaks, California, United States	US	USCA		34.1706	-118.838	1661567	20220818083000	https://www.vcstar.com/story/news/2022/08/17/conejo-valley-school-board-protests-fizzle-thousand-oaks-election-progressive-antifa-conservative/10075069002/
1059115047	20220811	202208	2022	2022.6055	FRA	PARIS	FRA								COP	POLICE						COP			1	026	026	02	1	4.0	3	1	3	-3.18021201413428	3	Thousand Oaks, California, United States	US	USCA	CA111	34.1706	-118.838	1661567	3	Thousand Oaks, California, United States	US	USCA		34.1706	-118.838	1661567	3	Thousand Oaks, California, United States	US	USCA		34.1706	-118.838	1661567	20220818083000	https://www.vcstar.com/story/news/2022/08/17/conejo-valley-school-board-protests-fizzle-thousand-oaks-election-progressive-antifa-conservative/10075069002/
1059115048	20220811	202208	2022	2022.6055	USACOP	UNITED STATES	USA					COP			COP	POLICE						COP			1	026	026	02	1	4.0	4	1	4	-3.18021201413428	3	Thousand Oaks, California, United States	US	USCA	CA111	34.1706	-118.838	1661567	3	Thousand Oaks, California, United States	US	USCA		34.1706	-118.838	1661567	3	Thousand Oaks, California, United States	US	USCA		34.1706	-118.838	1661567	20220818083000	https://www.vcstar.com/story/news/2022/08/17/conejo-valley-school-board-protests-fizzle-thousand-oaks-election-progressive-antifa-conservative/10075069002/
1059115049	20220811	202208	2022	2022.6055	USACOP	UNITED STATES	USA					COP			COP	POLICE						COP			1	026	026	02	1	4.0	2	1	2	-3.18021201413428	3	Conejo Valley, California, United States	US	USCA	CA111	34.1894	-118.907	240849	3	Conejo Valley, California, United States	US	USCA		34.1894	-118.907	240849	3	Conejo Valley, California, United States	US	USCA		34.1894	-118.907	240849	20220818083000	https://www.vcstar.com/story/news/2022/08/17/conejo-valley-school-board-protests-fizzle-thousand-oaks-election-progressive-antifa-conservative/10075069002/
1059115050	20220817	202208	2022	2022.6219	IGOSAFSAD	SADC	SAF	SAD				IGO			GOV	PRESIDENT						GOV			1	0841	084	08	2	7.0	4	1	4	-1.7175572519084	1	Malawi	MI	MI		-13.5	34	MI	1	Malawi	MI	MI		-13.5	34	MI	1	Malawi	MI	MI		-13.5	34	MI	20220818083000	http://www.times.co.sz/news/136610-no-mention-of-eswatini-in-summit-1st-leg-sadc-slammed.html
1059115051	20220817	202208	2022	2022.6219	IGOSAFSAD	SADC	SAF	SAD				IGO			MWIGOV	MALAWI	MWI					GOV			1	0841	084	08	2	7.0	1	1	1	-1.7175572519084	1	Malawi	MI	MI		-13.5	34	MI	1	Malawi	MI	MI		-13.5	34	MI	1	Malawi	MI	MI		-13.5	34	MI	20220818083000	http://www.times.co.sz/news/136610-no-mention-of-eswatini-in-summit-1st-leg-sadc-slammed.html
1059115052	20220817	202208	2022	2022.6219	IGOSAFSAD	SADC	SAF	SAD				IGO			SWZGOV	MSWATI III	SWZ					GOV			1	040	040	04	1	1.0	10	1	10	-1.7175572519084	1	South Africa	SF	SF		-30	26	SF	1	South Africa	SF	SF		-30	26	SF	1	South Africa	SF	SF		-30	26	SF	20220818083000	http://www.times.co.sz/news/136610-no-mention-of-eswatini-in-summit-1st-leg-sadc-slammed.html
